"key","pest","date"
10746,"Gespinstmotten",2024-03-22
10744,"Pflaumenwickler",2024-03-22
10745,"Pfirsichwickler",2024-03-22
10742,"Springwurm",2024-03-22
11707,"Schorf der Ziergehölze",2024-03-22
10743,"Flechten",2024-03-22
10740,"Einbindiger Traubenwickler",2024-03-22
10741,"Bekreuzter Traubenwickler",2024-03-22
10738,"Moose (Bryophyta)",2024-03-22
10739,"Traubenwickler",2024-03-22
10736,"Schalenwickler",2024-03-22
10635,"Gänseblümchen",2024-03-22
10634,"Kriechender Günsel",2024-03-22
10636,"Zaunwinde",2024-03-22
10638,"Ackerkratzdistel",2024-03-22
12329,"Minierende Raupen",2024-03-22
11721,"Colletotrichum-Fruchtfäule",2024-03-22
12334,"Leguminosenzünsler",2024-03-22
10648,"Weissklee",2024-03-22
10649,"Grosse Brennnessel",2024-03-22
10650,"Gamanderehrenpreis",2024-03-22
10651,"Faden-Ehrenpreis",2024-03-22
12339,"Echte Mehltaupilze der Laubbäume ",2024-03-22
10652,"Quendelblättriger Ehrenpreis",2024-03-22
12340,"Eulenraupen (blattfressend)",2024-03-22
10653,"Gemeine Quecke",2024-03-22
10640,"Ackerwinde",2024-03-22
10641,"Gundelrebe",2024-03-22
10643,"Spitzwegerich",2024-03-22
10644,"Grosser Ampfer",2024-03-22
10645,"Stumpfblättriger Ampfer (Blacken)",2024-03-22
12349,"Septoria-Keimlingsbefall (S. nodorum)",2024-03-22
12350,"Brennfleckenkrankheit der Erbse",2024-03-22
12351,"Stängelbräune des Leins",2024-03-22
10647,"Löwenzahn",2024-03-22
10667,"Lagerschorf des Apfels",2024-03-22
10671,"Echter Mehltau der Quitte",2024-03-22
10669,"Fruchtmonilia",2024-03-22
10668,"Lentizellenfäulnis des Apfels",2024-03-22
10659,"Einjähriges Rispengras",2024-03-22
10657,"Gemeiner Windhalm",2024-03-22
10662,"Rutenkrankheiten der Himbeere",2024-03-22
10660,"Getreideplattkäfer",2024-03-22
10683,"Kräuselmilbe",2024-03-22
10680,"Rostmilben",2024-03-22
10681,"Birnenpockenmilbe",2024-03-22
10686,"Erdbeermilbe",2024-03-22
10684,"Pockenmilbe der Reben",2024-03-22
10685,"Brombeermilbe",2024-03-22
15567,"Marssonina- Blattfallkrankheit",2024-03-22
10673,"Desikkation, Abbrennen",2024-03-22
10678,"Rapsglanzkäfer",2024-03-22
10679,"Rotfadenkrankheit des Rasens",2024-03-22
10565,"Ährenfusariosen",2024-03-22
10566,"Netzfleckenkrankheit der Gerste",2024-03-22
10567,"Rhynchosporium-Blattfleckenkrankheit",2024-03-22
10560,"Halmbruchkrankheit des Weizens",2024-03-22
10561,"Echter Mehltau des Getreides",2024-03-22
10562,"Gelbrost",2024-03-22
13479,"Colletotrichum-Wurzelbrand/-Blattflecken des Spinats",2024-03-22
10563,"Braunrost",2024-03-22
10572,"Blauschimmel des Tabaks",2024-03-22
10574,"Blattfleckenpilze",2024-03-22
10575,"Krankheiten durch pathogene Bodenpilze",2024-03-22
10569,"Kraut- und Fruchtfäule",2024-03-22
10570,"Prozessionsspinner",2024-03-22
10571,"Maulwürfe (Fam.)",2024-03-22
10580,"Fritfliege",2024-03-22
13493,"Pflaumenblattsauger",2024-03-22
10579,"Kohlschotenrüssler",2024-03-22
10589,"Ohrläppchenkrankheit der Azaleen",2024-03-22
10590,"Knospensterben an Rhododendron",2024-03-22
10585,"Desinfektion",2024-03-22
10584,"Blattfleckenkrankheit der Chrysantheme",2024-03-22
10599,"Echter Mehltau des Hopfens",2024-03-22
10597,"Knospensterben der Blautanne",2024-03-22
10594,"Nelkenschwärze",2024-03-22
10593,"Sternrusstau der Rosen",2024-03-22
13448,"Brennfleckenkrankheit der Linse",2024-03-22
12484,"Raubmilben",2024-03-22
10605,"Hirtentäschelkraut",2024-03-22
13449,"Falscher Mehltau der Linse",2024-03-22
12482,"Bakteriose der Walnuss",2024-03-22
12483,"Blattfleckenkrankheit der Walnuss",2024-03-22
10614,"Klettenlabkraut",2024-03-22
10609,"Kanadisches Berufkraut",2024-03-22
10622,"Vogelknöterich",2024-03-22
10620,"Steifer Sauerklee",2024-03-22
10496,"Lederfäule der Erdbeeren",2024-03-22
10497,"Rote Wurzelfäule der Erdbeeren",2024-03-22
10498,"Rhizomfäule der Erdbeeren",2024-03-22
10499,"Getreidehähnchen",2024-03-22
10501,"Rutenkrankheiten der Brombeere",2024-03-22
10502,"Wurzelsterben der Himbeere",2024-03-22
10503,"Roste der Ribes-Arten",2024-03-22
10504,"Blattfallkrankheit der Ribes-Arten",2024-03-22
13549,"Blattfusarium",2024-03-22
10505,"Echter Mehltau der Ribes-Arten",2024-03-22
10506,"Falscher Mehltau der Rebe",2024-03-22
10507,"Echter Mehltau der Rebe",2024-03-22
10508,"Rotbrenner",2024-03-22
10509,"Weissfäule der Rebe",2024-03-22
15474,"Brennfleckenkrankheit der Ackerbohne",2024-03-22
10510,"Vorratsschädlinge",2024-03-22
15475,"Falscher Mehltau der Ackerbohne",2024-03-22
10511,"Schwarzfleckenkrankheit der Rebe",2024-03-22
10513,"Schwarzfäule der Rebe",2024-03-22
